Hour,DryBulb,ACCFactor,ACCPower,PumpPower,RadiatorPower,IndoorEquipmentPower,ITLoss,MEPLoss,FacilityPower,HourlyPUE
7575,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7576,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7577,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7578,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7579,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7580,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7581,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7582,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7583,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7584,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7585,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7586,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7587,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7588,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7589,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7590,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7591,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7592,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7593,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7594,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7595,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7596,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7597,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7598,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7599,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7600,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7601,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7602,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7603,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7604,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7605,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7606,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7607,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7608,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
